"trainer/global_step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - train/grad_norm","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - train/grad_norm__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - train/grad_norm__MAX","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MAX"
"3149","0.8621737360954285","0.8621737360954285","0.8621737360954285","62","62","62"
"3199","0.5493912100791931","0.5493912100791931","0.5493912100791931","63","63","63"
"3249","0.7269566655158997","0.7269566655158997","0.7269566655158997","64","64","64"
"3299","0.6043940186500549","0.6043940186500549","0.6043940186500549","65","65","65"
"3349","0.8012213706970215","0.8012213706970215","0.8012213706970215","66","66","66"
"3399","1.2748956680297852","1.2748956680297852","1.2748956680297852","67","67","67"
"3449","0.8863202333450317","0.8863202333450317","0.8863202333450317","68","68","68"
"3499","0.5045040845870972","0.5045040845870972","0.5045040845870972","69","69","69"
"3549","0.6643537282943726","0.6643537282943726","0.6643537282943726","70","70","70"
"3599","1.2510346174240112","1.2510346174240112","1.2510346174240112","71","71","71"
"3649","0.4759441316127777","0.4759441316127777","0.4759441316127777","72","72","72"
"3699","1.0047283172607422","1.0047283172607422","1.0047283172607422","73","73","73"
"3749","0.626685619354248","0.626685619354248","0.626685619354248","74","74","74"
"3799","1.0608673095703125","1.0608673095703125","1.0608673095703125","75","75","75"
